Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Green Mobile,,,2019-05-13 09:20:55,2019-05-13 09:20:55,"0,842s",FAILED
,,,,,,
Test Cases/2. Apertura de Caja Automatica,,,2019-05-13 09:20:55,2019-05-13 09:20:55,"0,578s",FAILED
APK = new java.io.File(APK//FuerzaVenta_HU1a12.apk),,,2019-05-13 09:20:55,2019-05-13 09:20:55,"0,008s",PASSED
"startApplication(APK.getAbsolutePath(), true)",,,2019-05-13 09:20:55,2019-05-13 09:20:55,"0,154s",FAILED
